StartTime: 2020-05-20 15:16:49.551
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s) 
0x50	 15:32:19.384	0.1968	-0.8804	-0.4004	24.9634	10.3149	-16.7847 
0x50	 15:32:19.384	0.1968	-0.8804	-0.4004	24.9634	10.3149	-16.7847 
0x50	 15:32:19.404	0.1509	-0.8945	-0.3784	27.1606	-9.8877	-15.5029 
0x50	 15:32:19.404	0.1509	-0.8945	-0.3784	27.1606	-9.8877	-15.5029 
0x50	 15:32:19.425	0.1230	-0.9268	-0.3198	14.4653	-9.1553	-23.4375 
0x50	 15:32:19.425	0.1230	-0.9268	-0.3198	14.4653	-9.1553	-23.4375 
0x50	 15:32:19.434	0.1401	-0.9009	-0.2773	3.4790	-15.5640	-20.6909 
0x50	 15:32:19.454	0.1401	-0.9009	-0.2773	3.4790	-15.5640	-20.6909 
0x50	 15:32:19.454	0.1904	-0.8442	-0.3066	16.5405	-34.1797	-12.9395 
0x50	 15:32:19.454	0.1904	-0.8442	-0.3066	16.5405	-34.1797	-12.9395 
0x50	 15:32:19.475	0.1875	-0.8506	-0.3047	33.2031	-35.4004	-15.1367 
0x50	 15:32:19.475	0.1875	-0.8506	-0.3047	33.2031	-35.4004	-15.1367 
0x50	 15:32:19.484	0.1538	-0.9404	-0.1982	21.2402	-21.7896	-15.3198 
0x50	 15:32:19.504	0.1538	-0.9404	-0.1982	21.2402	-21.7896	-15.3198 
0x50	 15:32:19.504	0.1470	-0.9326	-0.2256	0.4883	-21.2402	-1.8311 
0x50	 15:32:19.525	0.1470	-0.9326	-0.2256	0.4883	-21.2402	-1.8311 
0x50	 15:32:19.525	0.2104	-0.8008	-0.2832	-7.4463	-42.7246	-0.9155 
0x50	 15:32:19.554	0.2104	-0.8008	-0.2832	-7.4463	-42.7246	-0.9155 
0x50	 15:32:19.554	0.1411	-0.8726	-0.2026	11.5967	-32.9590	1.2817 
0x50	 15:32:19.554	0.1411	-0.8726	-0.2026	11.5967	-32.9590	1.2817 
0x50	 15:32:19.584	0.1582	-0.9004	-0.3403	21.9727	6.2256	-18.7988 
0x50	 15:32:19.584	0.1582	-0.9004	-0.3403	21.9727	6.2256	-18.7988 
0x50	 15:32:19.604	0.1660	-0.7783	-0.1445	11.4746	-0.5493	-36.8652 
0x50	 15:32:19.604	0.1660	-0.7783	-0.1445	11.4746	-0.5493	-36.8652 
0x50	 15:32:19.625	0.1030	-0.8940	-0.2305	-1.1597	13.7939	-19.5923 
0x50	 15:32:19.625	0.1030	-0.8940	-0.2305	-1.1597	13.7939	-19.5923 
0x50	 15:32:19.634	0.1929	-0.7827	-0.3540	-1.0986	11.2915	-8.9111 
0x50	 15:32:19.654	0.1929	-0.7827	-0.3540	-1.0986	11.2915	-8.9111 
0x50	 15:32:19.654	0.1416	-0.6665	-0.2119	6.3477	-0.6104	-7.6904 
0x50	 15:32:19.654	0.1416	-0.6665	-0.2119	6.3477	-0.6104	-7.6904 
0x50	 15:32:19.674	0.1836	-0.6807	-0.1919	11.8408	-14.3433	-5.3711 
0x50	 15:32:19.684	0.1836	-0.6807	-0.1919	11.8408	-14.3433	-5.3711 
0x50	 15:32:19.684	0.2329	-0.7231	-0.3086	14.6484	-32.7759	-3.7231 
0x50	 15:32:19.704	0.2329	-0.7231	-0.3086	14.6484	-32.7759	-3.7231 
0x50	 15:32:19.704	0.1943	-0.7881	-0.2676	18.9209	-52.3682	-7.0801 
0x50	 15:32:19.724	0.1943	-0.7881	-0.2676	18.9209	-52.3682	-7.0801 
0x50	 15:32:19.724	0.0879	-0.9487	-0.2344	30.2734	-17.8833	-15.4419 
0x50	 15:32:19.754	0.0879	-0.9487	-0.2344	30.2734	-17.8833	-15.4419 
0x50	 15:32:19.754	0.1367	-0.8325	-0.2231	31.0059	-0.1831	-8.8501 
0x50	 15:32:19.754	0.1367	-0.8325	-0.2231	31.0059	-0.1831	-8.8501 
0x50	 15:32:19.784	0.1367	-0.8325	-0.2231	31.0059	-0.1831	-8.8501 
0x50	 15:32:19.784	0.1406	-0.7988	-0.1675	38.5132	-6.7749	-6.3477 
0x50	 15:32:19.784	0.1406	-0.7988	-0.1675	38.5132	-6.7749	-6.3477 
0x50	 15:32:19.804	0.1670	-0.7817	-0.1577	51.6357	-5.9814	-17.8223 
0x50	 15:32:19.804	0.1670	-0.7817	-0.1577	51.6357	-5.9814	-17.8223 
0x50	 15:32:19.824	0.1548	-0.8369	-0.1704	61.7065	4.3945	-32.2876 
0x50	 15:32:19.844	0.1548	-0.8369	-0.1704	61.7065	4.3945	-32.2876 
0x50	 15:32:19.864	0.1797	-0.8398	-0.1313	67.0166	27.0386	-33.9355 
0x50	 15:32:19.864	0.1797	-0.8398	-0.1313	67.0166	27.0386	-33.9355 
0x50	 15:32:19.874	-0.0444	-0.9331	-0.1069	66.4063	56.8237	-8.4839 
0x50	 15:32:19.884	-0.0444	-0.9331	-0.1069	66.4063	56.8237	-8.4839 
0x50	 15:32:19.884	0.0122	-1.0415	-0.1079	64.9414	93.6279	-13.4888 
0x50	 15:32:19.884	0.0122	-1.0415	-0.1079	64.9414	93.6279	-13.4888 
0x50	 15:32:19.904	0.2021	-1.0288	-0.0605	50.2930	107.7271	-35.4004 
0x50	 15:32:19.904	0.2021	-1.0288	-0.0605	50.2930	107.7271	-35.4004 
0x50	 15:32:19.924	0.3203	-0.9712	-0.0083	42.8467	97.9614	-40.2832 
0x50	 15:32:19.924	0.3203	-0.9712	-0.0083	42.8467	97.9614	-40.2832 
0x50	 15:32:19.934	0.3999	-0.8823	0.0137	43.3960	83.6792	-24.7803 
0x50	 15:32:19.954	0.3999	-0.8823	0.0137	43.3960	83.6792	-24.7803 
0x50	 15:32:19.954	0.4131	-0.8354	0.0547	51.1475	66.2842	-4.4556 
0x50	 15:32:19.994	0.4131	-0.8354	0.0547	51.1475	66.2842	-4.4556 
0x50	 15:32:19.994	0.3604	-0.9028	0.0610	56.2744	46.0815	14.5874 
0x50	 15:32:20.004	0.3604	-0.9028	0.0610	56.2744	46.0815	14.5874 
0x50	 15:32:20.004	0.3032	-1.0396	0.0278	51.8799	41.0767	17.3950 
0x50	 15:32:20.004	0.3032	-1.0396	0.0278	51.8799	41.0767	17.3950 
0x50	 15:32:20.024	0.3501	-1.0537	0.0845	39.3066	47.3022	5.1880 
0x50	 15:32:20.034	0.3501	-1.0537	0.0845	39.3066	47.3022	5.1880 
0x50	 15:32:20.044	0.4136	-0.9883	0.1230	29.5410	42.7856	-6.4697 
0x50	 15:32:20.054	0.4136	-0.9883	0.1230	29.5410	42.7856	-6.4697 
0x50	 15:32:20.054	0.3911	-0.9038	0.1426	25.0854	27.8931	-7.9346 
0x50	 15:32:20.074	0.3911	-0.9038	0.1426	25.0854	27.8931	-7.9346 
0x50	 15:32:20.084	0.3755	-0.8379	0.1680	27.5269	19.8975	-0.6104 
0x50	 15:32:20.084	0.3755	-0.8379	0.1680	27.5269	19.8975	-0.6104 
0x50	 15:32:20.094	0.3691	-0.8584	0.1899	30.0903	14.8926	10.2539 
0x50	 15:32:20.103	0.3691	-0.8584	0.1899	30.0903	14.8926	10.2539 
0x50	 15:32:20.113	0.2939	-0.9106	0.1904	30.9448	14.0991	9.3994 
0x50	 15:32:20.124	0.2939	-0.9106	0.1904	30.9448	14.0991	9.3994 
0x50	 15:32:20.133	0.2656	-0.9473	0.1499	27.5879	24.5361	-4.4556 
0x50	 15:32:20.154	0.2656	-0.9473	0.1499	27.5879	24.5361	-4.4556 
0x50	 15:32:20.154	0.3125	-0.8945	0.1362	23.9868	36.1328	-19.3481 
0x50	 15:32:20.174	0.3125	-0.8945	0.1362	23.9868	36.1328	-19.3481 
0x50	 15:32:20.174	0.3735	-0.8398	0.1509	23.6206	38.2690	-16.6626 
0x50	 15:32:20.183	0.3735	-0.8398	0.1509	23.6206	38.2690	-16.6626 
0x50	 15:32:20.214	0.3950	-0.8198	0.2104	25.5127	29.9683	-5.3711 
0x50	 15:32:20.214	0.3950	-0.8198	0.2104	25.5127	29.9683	-5.3711 
0x50	 15:32:20.214	0.4087	-0.7725	0.2285	30.8838	14.4043	2.8076 
0x50	 15:32:20.223	0.4087	-0.7725	0.2285	30.8838	14.4043	2.8076 
0x50	 15:32:20.233	0.4063	-0.8188	0.2202	39.7339	3.2349	10.6812 
0x50	 15:32:20.253	0.4063	-0.8188	0.2202	39.7339	3.2349	10.6812 
0x50	 15:32:20.253	0.3965	-0.9160	0.2417	44.3115	-2.0752	16.3574 
0x50	 15:32:20.284	0.3965	-0.9160	0.2417	44.3115	-2.0752	16.3574 
0x50	 15:32:20.284	0.3652	-0.9644	0.2813	47.3633	-11.1694	15.3198 
0x50	 15:32:20.284	0.3652	-0.9644	0.2813	47.3633	-11.1694	15.3198 
0x50	 15:32:20.284	0.3130	-1.0254	0.3306	53.4058	-22.7661	20.6909 
0x50	 15:32:20.324	0.3130	-1.0254	0.3306	53.4058	-22.7661	20.6909 
0x50	 15:32:20.324	0.2832	-1.1196	0.2837	54.3213	-36.2549	43.8232 
0x50	 15:32:20.324	0.2832	-1.1196	0.2837	54.3213	-36.2549	43.8232 
0x50	 15:32:20.354	0.3022	-1.2207	0.2271	43.9453	-45.7764	53.5278 
0x50	 15:32:20.354	0.3022	-1.2207	0.2271	43.9453	-45.7764	53.5278 
0x50	 15:32:20.354	0.3032	-1.2319	0.2920	25.5127	-42.4805	41.4429 
0x50	 15:32:20.374	0.3032	-1.2319	0.2920	25.5127	-42.4805	41.4429 
0x50	 15:32:20.374	0.3003	-1.1084	0.4102	19.7754	-36.4990	14.2822 
0x50	 15:32:20.383	0.3003	-1.1084	0.4102	19.7754	-36.4990	14.2822 
0x50	 15:32:20.423	0.1611	-1.1563	0.4531	21.8506	-44.4946	9.7656 
0x50	 15:32:20.423	0.1611	-1.1563	0.4531	21.8506	-44.4946	9.7656 
0x50	 15:32:20.423	0.0098	-1.1807	0.3281	7.4463	-34.7290	29.1748 
0x50	 15:32:20.423	0.0098	-1.1807	0.3281	7.4463	-34.7290	29.1748 
0x50	 15:32:20.423	0.1162	-1.0459	0.3413	7.3242	-1.7090	29.2358 
0x50	 15:32:20.454	0.1162	-1.0459	0.3413	7.3242	-1.7090	29.2358 
0x50	 15:32:20.454	0.3027	-0.9951	0.4009	26.1230	17.7612	25.2075 
0x50	 15:32:20.454	0.3027	-0.9951	0.4009	26.1230	17.7612	25.2075 
0x50	 15:32:20.474	0.4097	-1.0278	0.4805	49.9268	4.4556	30.3955 
0x50	 15:32:20.474	0.4097	-1.0278	0.4805	49.9268	4.4556	30.3955 
0x50	 15:32:20.514	0.3560	-1.1172	0.5366	66.5283	-22.3389	36.1328 
0x50	 15:32:20.514	0.3560	-1.1172	0.5366	66.5283	-22.3389	36.1328 
